Title,Description,Details,Filename,Preliminary assessment: Potentially relevant?,Reviewer,Final inclusion?,Type of PC,Arm,Number of point estimates per outcome,Dichotomisation threshold(s) (%),Number of patients assumed in computing point estimate,Number of responses for point estimate,Exact point estimate(s) (%),95% confidence interval(s) reported,Reported confidence interval(s) (%),Number of bars clipped,Clip point (%)
Prostatic compensation of the vitamin D axis in African American men.,"Richards Z, Batai K, Farhat R, Shah E, Makowski A, Gann PH, Kittles R, Nonn L.",JCI Insight. 2017 Jan 26; 2(2): e91054,,No,,,,,,,,,,,,,
Effects of conventional therapeutic interventions on the number and function of regulatory T cells.,"Roselli M, Cereda V, di Bari MG, Formica V, Spila A, Jochems C, Farsaci B, Donahue R, Gulley JL, Schlom J, Guadagni F.",Oncoimmunology. 2013 Nov 1; 2(10): e27025,,No,,,,,,,,,,,,,
Pharmacodynamic and pharmacokinetic neoadjuvant study of hedgehog pathway inhibitor Sonidegib (LDE-225) in men with high-risk localized prostate cancer undergoing prostatectomy.,"Ross AE, Hughes RM, Glavaris S, Ghabili K, He P, Anders NM, Harb R, Tosoian JJ, Marchionni L, Schaeffer EM, Partin AW, Allaf ME, Bivalacqua TJ, Chapman C, O’Neal T, DeMarzo AM, Hurley PJ, Rudek MA, Antonarakis ES.",Oncotarget. 2017 Oct 26; 8(61): 104182-104192,,No,,,,,,,,,,,,,
Pathophysiology of increased cerebrospinal fluid pressure associated to brain arteriovenous malformations: The hydraulic hypothesis.,Rossitti S.,Surgical Neurology International. 2013 Mar 28; 4: 42,,No,,,,,,,,,,,,,
Neural stem cell heterogeneity through time and space in the ventricular-subventricular zone.,"Rushing G, Ihrie RA.",Frontiers in biology. 2016 Jul 8; 11(4): 261-284,,No,,,,,,,,,,,,,
"An exploratory analysis of alkaline phosphatase, lactate dehydrogenase, and prostate-specific antigen dynamics in the phase 3 ALSYMPCA trial with radium-223.","Sartor O, Coleman RE, Nilsson S, Heinrich D, Helle SI, O’Sullivan JM, Vogelzang NJ, Bruland Ø, Kobina S, Wilhelm S, Xu L, Shan M, Kattan MW, Parker C.",Annals of Oncology. 2017 Feb 16; 28(5): 1090-1097,,No,,,,,,,,,,,,,
Design and End Points of Clinical Trials for Patients With Progressive Prostate Cancer and Castrate Levels of Testosterone: Recommendations of the Prostate Cancer Clinical Trials Working Group.,"Scher HI, Halabi S, Tannock I, Morris M, Sternberg CN, Carducci MA, Eisenberger MA, Higano C, Bubley GJ, Dreicer R, Petrylak D, Kantoff P, Basch E, Kelly WK, Figg WD, Small EJ, Beer TM, Wilding G, Martin A, Hussain M.",Journal of clinical oncology : official journal of the American Society of Clinical Oncology. 2008 Mar 1; 26(7): 1148-1159,,No,,,,,,,,,,,,,
End Points and Outcomes in Castration-Resistant Prostate Cancer: From Clinical Trials to Clinical Practice.,"Scher HI, Morris MJ, Basch E, Heller G.",Journal of Clinical Oncology. 2011 Aug 22; 29(27): 3695-3704,,No,,,,,,,,,,,,,
Validation and clinical utility of prostate cancer biomarkers.,"Scher HI, Morris MJ, Larson S, Heller G.",Nature reviews. Clinical oncology. 2013 Mar 5; 10(4): 225-234,,No,,,,,,,,,,,,,
Trial Design and Objectives for Castration-Resistant Prostate Cancer: Updated Recommendations From the Prostate Cancer Clinical Trials Working Group 3.,"Scher HI, Morris MJ, Stadler WM, Higano C, Basch E, Fizazi K, Antonarakis ES, Beer TM, Carducci MA, Chi KN, Corn PG, de Bono JS, Dreicer R, George DJ, Heath EI, Hussain M, Kelly WK, Liu G, Logothetis C, Nanus D, Stein MN, Rathkopf DE, Slovin SF, Ryan CJ, Sartor O, Small EJ, Smith MR, Sternberg CN, Taplin ME, Wilding G, Nelson PS, Schwartz LH, Halabi S, Kantoff PW, Armstrong AJ.",Journal of Clinical Oncology. 2016 Feb 22; 34(12): 1402-1418,,No,,,,,,,,,,,,,
THERAPEUTIC CANCER VACCINES.,"Schlom J, Hodge JW, Palena C, Tsang KY, Jochems C, Greiner JW, Farsaci B, Madan RA, Heery CR, Gulley JL.",Advances in cancer research. 2014; 121: 67-124,,No,,,,,,,,,,,,,
Feedback suppression of PI3Kα signaling in PTEN mutated tumors is relieved by selective inhibition of PI3Kβ.,"Schwartz S, Wongvipat J, Trigwell CB, Hancox U, Carver BS, Rodrik-Outmezguine V, Will M, Yellen P, de Stanchina E, Baselga J, Scher HI, Barry ST, Sawyers CL, Chandarlapaty S, Rosen N.",Cancer cell. 2014 Dec 24; 27(1): 109-122,,No,,,,,,,,,,,,,
Transgenic mouse models for studying adult neurogenesis.,"Semerci F, Maletic-Savatic M.",Frontiers in biology. 2016 Jun 28; 11(3): 151-167,,No,,,,,,,,,,,,,
Patient-derived Models Reveal Impact of the Tumor Microenvironment on Therapeutic Response.,"Shafi AA, Schiewer MJ, de Leeuw R, Dylgjeri E, McCue PA, Shah N, Gomella LG, Lallas CD, Trabulsi EJ, Centenera MM, Hickey TE, Butler LM, Raj G, Tilley WD, Cukierman E, Knudsen KE.",European urology oncology. 2018 Jun 6; 1(4): 325-337,,No,,,,,,,,,,,,,
Regulation of the glucocorticoid receptor via a BET-dependent enhancer drives antiandrogen resistance in prostate cancer.,"Shah N, Wang P, Wongvipat J, Karthaus WR, Abida W, Armenia J, Rockowitz S, Drier Y, Bernstein BE, Long HW, Freedman ML, Arora VK, Zheng D, Sawyers CL.",eLife. 2017 Sep 11; 6: e27861,,No,,,,,,,,,,,,,
ELF3 is a Repressor of Androgen Receptor Action in Prostate Cancer Cells.,"Shatnawi A, Norris JD, Chaveroux C, Jasper JS, Sherk AB, McDonnell DP, Giguère V.",Oncogene. 2013 Feb 25; 33(7): 862-871,,No,,,,,,,,,,,,,
Clinical Implications of a Multiparametric MRI Based Nomogram Applied to Prostate Cancer Active Surveillance.,"Siddiqui MM, Truong H, Rais-Bahrami S, Stamatakis L, Logan J, Walton-Diaz A, Turkbey B, Choyke P, Wood BJ, Simon R, Pinto PA.",The Journal of urology. 2015 Jan 26; 193(6): 1943-1949,,No,,,,,,,,,,,,,
The Use of Hyperpolarized Carbon-13 Magnetic Resonance for Molecular Imaging.,"Siddiqui S, Kadlecek S, Pourfathi M, Xin Y, Mannherz W, Hamedani H, Drachman N, Ruppert K, Clapp J, Rizi R.",Advanced drug delivery reviews. 2016 Sep 4; 113: 3-23,,No,,,,,,,,,,,,,
Multigene profiling of CTCs in mCRPC identifies a clinically relevant prognostic signature.,"Singhal U, Wang Y, Henderson J, Niknafs YS, Qiao Y, Gursky A, Zaslavsky A, Chung JS, Smith DC, Karnes RJ, Chang SL, Feng FY, Palapattu GS, Taichman RS, Chinnaiyan AM, Tomlins S, Morgan TM.",Molecular cancer research : MCR. 2018 Feb 16; 16(4): 643-654,,No,,,,,,,,,,,,,
The influence of various distractions prior to upper gastrointestinal endoscopy: a prospective randomized controlled study.,"Sogabe M, Okahisa T, Adachi Y, Takehara M, Hamada S, Okazaki J, Fujino Y, Fukuya A, Kagemoto K, Hirao A, Okamoto K, Nakasono M, Takayama T.",BMC Gastroenterology. 2018 Aug 29; 18: 132,,No,,,,,,,,,,,,,
Androgen receptor upregulation mediates radioresistance after ionizing radiation.,"Spratt DE, Evans MJ, Davis BJ, Doran MG, Lee MX, Shah N, Wongvipat J, Carnazza KE, Klee GG, Polkinghorn W, Tindall DJ, Lewis JS, Sawyers CL.",Cancer research. 2015 Oct 2; 75(22): 4688-4696,,No,,,,,,,,,,,,,
Other Paradigms: Growth Rate Constants and Tumor Burden Determined Using Computed Tomography Data Correlate Strongly With the Overall Survival of Patients With Renal Cell Carcinoma.,"Stein WD, Huang H, Menefee M, Edgerly M, Kotz H, Dwyer A, Yang J, Bates SE.","Cancer journal (Sudbury, Mass.). 2009 Sep-Oct; 15(5): 441-447",,No,,,,,,,,,,,,,
"Analyzing the pivotal trial that compared sunitinib and interferon alfa in renal cell carcinoma, using a method that assesses tumor regression and growth.","Stein WD, Wilkerson J, Kim ST, Huang X, Motzer RJ, Fojo AT, Bates SE.",Clinical Cancer Research. 2012 Feb 17; 18(8): 2374-2381,,No,,,,,,,,,,,,,
Reduction in expression of the benign AR transcriptome is a hallmark of localised prostate cancer progression.,"Stuchbery R, Macintyre G, Cmero M, Harewood LM, Peters JS, Costello AJ, Hovens CM, Corcoran NM.",Oncotarget. 2016 Apr 22; 7(21): 31384-31392,,No,,,,,,,,,,,,,
"Fully Automated, Label-Free Isolation of Extracellular Vesicles from Whole Blood for Cancer Diagnosis and Monitoring.","Sunkara V, Kim CJ, Park J, Woo HK, Kim D, Ha HK, Kim MH, Son Y, Kim JR, Cho YK.",Theranostics. 2019 Mar 7; 9(7): 1851-1863,,No,,,,,,,,,,,,,
High-content screening identifies Src family kinases as potential regulators of AR-V7 expression and androgen-independent cell growth.,"Szafran AT, Stephan C, Bolt M, Mancini MG, Marcelli M, Mancini MA.",The Prostate. 2016 Oct 4; 77(1): 82-93,,No,,,,,,,,,,,,,
Expression of AR-V7 and ARv567es in circulating tumor cells correlates with outcomes to taxane therapy in men with metastatic prostate cancer treated in TAXYNERGY.,"Tagawa ST, Antonarakis ES, Gjyrezi A, Galletti G, Kim S, Worroll D, Stewart J, Zaher A, Szatrowski TP, Ballman KV, Kita K, Tasaki S, Bai Y, Portella L, Kirby BJ, Saad F, Eisenberger MA, Nanus DM, Giannakakou P.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2018 Oct 9; 25(6): 1880-1888,,No,,,,,,,,,,,,,
The DHEA-sulfate depot following P450c17 inhibition supports the case for AKR1C3 inhibition in high risk localized and advanced castration resistant prostate cancer.,"Tamae D, Mostaghel E, Montgomery B, Nelson PS, Balk SP, Kantoff PW, Taplin ME, Penning TM.",Chemico-biological interactions. 2014 Dec 13; 234: 332-338,,No,,,,,,,,,,,,,
Intense Androgen-Deprivation Therapy With Abiraterone Acetate Plus Leuprolide Acetate in Patients With Localized High-Risk Prostate Cancer: Results of a Randomized Phase II Neoadjuvant Study.,"Taplin ME, Montgomery B, Logothetis CJ, Bubley GJ, Richie JP, Dalkin BL, Sanda MG, Davis JW, Loda M, True LD, Troncoso P, Ye H, Lis RT, Marck BT, Matsumoto AM, Balk SP, Mostaghel EA, Penning TM, Nelson PS, Xie W, Jiang Z, Haqq CM, Tamae D, Tran N, Peng W, Kheoh T, Molina A, Kantoff PW.",Journal of Clinical Oncology. 2014 Oct 13; 32(33): 3705-3715,,No,,,,,,,,,,,,,
SOD mimetics: A Novel Class of Androgen Receptor Inhibitors that Suppresses Castration-Resistant Growth of Prostate Cancer.,"Thomas R, Sharifi N.",Molecular Cancer Therapeutics. 2011 Dec 15; 11(1): 87-97,,No,,,,,,,,,,,,,
Combined AKT and MEK Pathway Blockade in Pre-Clinical Models of Enzalutamide-Resistant Prostate Cancer.,"Toren P, Kim S, Johnson F, Zoubeidi A.",PLoS ONE. 2016 Apr 5; 11(4): e0152861,,No,,,,,,,,,,,,,
Neuropilin-1 is upregulated in the adaptive response of prostate tumors to androgen-targeted therapies and is prognostic of metastatic progression and patient mortality.,"Tse BW, Volpert M, Ratther E, Stylianou N, Nouri M, McGowan K, Lehman ML, McPherson SJ, Roshan-Moniri M, Butler MS, Caradec J, Gregory-Evans CY, McGovern J, Das R, Takhar M, Erho N, Alshalafa M, Davicioni E, Schaeffer EM, Jenkins RB, Ross AE, Karnes RJ, Den RB, Fazli L, Gregory PA, Gleave ME, Williams ED, Rennie PS, Buttyan R, Gunter JH, Selth LA, Russell PJ, Nelson CC, Hollier BG.",Oncogene. 2017 Jan 16; 36(24): 3417-3427,,No,,,,,,,,,,,,,
"Fact or Fiction, It Is Time for a Verdict on Vasculogenic Mimicry?.","Valdivia A, Mingo G, Aldana V, Pinto MP, Ramirez M, Retamal C, Gonzalez A, Nualart F, Corvalan AH, Owen GI.",Frontiers in Oncology. 2019 Aug 2; 9: 680,,No,,,,,,,,,,,,,
Structural alterations driving castration-resistant prostate cancer revealed by linked-read genome sequencing.,"Viswanathan SR, Ha G, Hoff AM, Wala JA, Carrot-Zhang J, Whelan CW, Haradhvala NJ, Freeman SS, Reed SC, Rhoades J, Polak P, Cipicchio M, Wankowicz SA, Wong A, Kamath T, Zhang Z, Gydush GJ, Rotem D, International PCF/SU2C Prostate Cancer Dream Team, Love JC, Getz G, Gabriel S, Zhang CZ, Dehm SM, Nelson PS, Van Allen EM, Choudhury AD, Adalsteinsson VA, Beroukhim R, Taplin ME, Meyerson M.",Cell. 2018 Jun 18; 174(2): 433-447.e19,,No,,,,,,,,,,,,,
TARP vaccination is associated with slowing in PSA velocity and decreasing tumor growth rates in patients with Stage D0 prostate cancer.,"Wood LV, Fojo A, Roberson BD, Hughes MS, Dahut W, Gulley JL, Madan RA, Arlen PM, Sabatino M, Stroncek DF, Castiello L, Trepel JB, Lee MJ, Parnes HL, Steinberg SM, Terabe M, Wilkerson J, Pastan I, Berzofsky JA.",Oncoimmunology. 2016 Jul 1; 5(8): e1197459,,No,,,,,,,,,,,,,
PSA time to nadir as a prognostic factor of first-line docetaxel treatment in castration-resistant prostate cancer: evidence from patients in Northwestern China.,"Wu KJ, Pei XQ, Tian G, Wu DP, Fan JH, Jiang YM, He DL.",Asian Journal of Andrology. 2017 Sep 12; 20(2): 173-177,,No,,,,,,,,,,,,,
Loss of PLZF Expression in Prostate Cancer by Immunohistochemistry Correlates with Tumor Aggressiveness and Metastasis.,"Xiao GQ, Unger P, Yang Q, Kinoshita Y, Singh K, McMahon L, Nastiuk K, Sha K, Krolewski J, Burstein D.",PLoS ONE. 2015 Mar 25; 10(3): e0121318,,No,,,,,,,,,,,,,
Agrin-Lrp4-Ror2 signaling regulates adult hippocampal neurogenesis in mice.,"Zhang H, Sathyamurthy A, Liu F, Li L, Zhang L, Dong Z, Cui W, Sun X, Zhao K, Wang H, Ho HY, Xiong WC, Mei L.",eLife. 2019 Jul 3; 8: e45303,,No,,,,,,,,,,,,,
Advances in single-cell RNA sequencing and its applications in cancer research.,"Zhu S, Qing T, Zheng Y, Jin L, Shi L.",Oncotarget. 2017 May 16; 8(32): 53763-53779,,No,,,,,,,,,,,,,
"Weekly Reports for February 10, 1899.",,Public Health Reports. 1899 Feb 10; 14(6): 179-210,,No,,,,,,,,,,,,,
"Weekly Reports for February 17, 1899.",,Public Health Reports. 1899 Feb 17; 14(7): 211-236,,No,,,,,,,,,,,,,
"Weekly Reports for March 10, 1899.",,Public Health Reports. 1899 Mar 10; 14(10): 305-337,,No,,,,,,,,,,,,,
"Weekly Reports for March 24, 1899.",,Public Health Reports. 1899 Mar 24; 14(12): 385-416,,No,,,,,,,,,,,,,
"Weekly Reports for April 14, 1899.",,Public Health Reports. 1899 Apr 14; 14(15): 497-531,,No,,,,,,,,,,,,,
"Weekly Reports for April 21, 1899.",,Public Health Reports. 1899 Apr 21; 14(16): 533-579,,No,,,,,,,,,,,,,
